variants	origine
T. Pratchett	Terry Pratchett
Terry Pratchett	Terry Pratchett
Pratchett	Terry Pratchett
Humbert Ier	Humbert Ier
E. Viollet-le-Duc	Eugène Viollet-le-Duc
Eugène Viollet-le-Duc	Eugène Viollet-le-Duc
Viollet-le-Duc	Eugène Viollet-le-Duc
V. Hugo	Victor Hugo
Victor Hugo	Victor Hugo
Hugo	Victor Hugo
V. Fox	Vicente Fox
Vicente Fox	Vicente Fox
Fox	Vicente Fox
V. Naipaul	V. S. Naipaul
V. Poutine	Vladimir Poutine
Vladimir Poutine	Vladimir Poutine
Poutine	Vladimir Poutine
W. Gibson	William Gibson
William Gibson	William Gibson
Gibson	William Gibson
W. Braun	Wernher von Braun
Wernher Braun	Wernher von Braun
Braun	Wernher von Braun
Y. Arafat	Yasser Arafat
Yasser Arafat	Yasser Arafat
Arafat	Yasser Arafat
U. Yukari	Umezawa Yukari
Umezawa Yukari	Umezawa Yukari
Yukari	Umezawa Yukari
Y. Gagarine	Youri Gagarine
Youri Gagarine	Youri Gagarine
Gagarine	Youri Gagarine
H. Tōjō	Hideki Tōjō
Hideki Tōjō	Hideki Tōjō
Tōjō	Hideki Tōjō
I. Zamiatine	Ievgueni Zamiatine
Ievgueni Zamiatine	Ievgueni Zamiatine
Zamiatine	Ievgueni Zamiatine
H. Poincaré	Henri Poincaré
Henri Poincaré	Henri Poincaré
Poincaré	Henri Poincaré
L. Schwartz	Laurent Schwartz
Laurent Schwartz	Laurent Schwartz
Schwartz	Laurent Schwartz
J. Pouy	Jean-Bernard Pouy
Jean-Bernard Pouy	Jean-Bernard Pouy
Pouy	Jean-Bernard Pouy
J. Neumann	John von Neumann
John Neumann	John von Neumann
Neumann	John von Neumann
J. Eyck	Jan van Eyck
Jan Eyck	Jan van Eyck
Eyck	Jan van Eyck
Jean-Paul II	Jean-Paul II
J. Ruskin	John Ruskin
John Ruskin	John Ruskin
Ruskin	John Ruskin
W. Morris	William Morris
William Morris	William Morris
Morris	William Morris
S. Bing	Samuel Bing
Samuel Bing	Samuel Bing
Bing	Samuel Bing
J. Baptiste	Jean le Baptiste
Jean Baptiste	Jean le Baptiste
Baptiste	Jean le Baptiste
C. Cárdenas	Cuauhtémoc Cárdenas
Cuauhtémoc Cárdenas	Cuauhtémoc Cárdenas
Cárdenas	Cuauhtémoc Cárdenas
A. Greenspan	Alan Greenspan
Alan Greenspan	Alan Greenspan
Greenspan	Alan Greenspan
E. Zedillo	Ernesto Zedillo
Ernesto Zedillo	Ernesto Zedillo
Zedillo	Ernesto Zedillo
V. d'Estaing	Valéry Giscard d'Estaing
Valéry d'Estaing	Valéry Giscard d'Estaing
d'Estaing	Valéry Giscard d'Estaing
E. Pérochon	Ernest Pérochon
Ernest Pérochon	Ernest Pérochon
Pérochon	Ernest Pérochon
A. Juppé	Alain Juppé
Alain Juppé	Alain Juppé
Juppé	Alain Juppé
W. Golding	William Golding
William Golding	William Golding
Golding	William Golding
O. Laden	Oussama ben Laden
